Polish,English
się,myself
i,and
w,In
nie,no
na,on
z,With
do,down
to,this
że,That
a,and
o,about
jak,How
ale,But
po,after
co,What
tak,Yes
za,behind
od,From
go,him
już,Already
jego,his
jej,her
czy,Whether
przez,By
tylko,Just
tego,this
sobie,myself
jeszcze,still
może,Maybe
ze,That
kiedy,When
pan,Mr
ich,their
dla,For
by,by
gdy,When
teraz,Now
ja,I
ten,this
który,which
nawet,even
bardzo,Very
przed,Before
tu,here
jednak,But
pod,under
coś,something
tam,over there
wszystko,All
przy,by
więc,So
nic,nothing
bo,because
nim,him
żeby,To
miał,had
on,he
być,to be
potem,later
też,Too
jeśli,If
bez,without
nad,above
gdzie,Where
lecz,but
siebie,myself
nigdy,Never
ani,or
właśnie,Exactly
sam,alone
u,at
dobrze,All right
niż,than
jakby,as if
aby,To
ty,you
oczy,Eyes
zawsze,Always
raz,once
były,were
no,yeah
albo,or
gdyby,if
aż,until
wtedy,then
przecież,yet
ona,She
drzwi,door
jako,as
chyba,I guess
nagle,suddenly
wszyscy,all
jeden,one
czym,what
kto,Who
sposób,way
czas,time
kilka,several
dlaczego,Why
razem,Together
także,too
mój,my
nikt,nobody
choć,though
wiele,many
dwa,two
ktoś,someone
lub,or
trzeba,it's necessary to
niech,let
ku,to
twarz,face
którego,whose
we,in
znowu,again
człowiek,man
jakiś,some
tutaj,here
szybko,Quick
tyle,so much
głos,voice
między,between
wreszcie,at last
również,also
życie,life
oczywiście,Of course
znów,again
swoje,own
dlatego,Which is why
zbyt,too
ciebie,you
zupełnie,quite
taki,such
czego,what
iż,that
dopiero,only
powiedzieć,to say
obok,Near
prawie,almost
poza,apart from
zaś,and
wciąż,still
jeżeli,if
moje,my
PRAWDA,TRUE
trzy,Three
dzień,Day
miejsce,place
mimo,despite
ponieważ,Because
zaraz,In a second
długo,long
coraz,getting
podczas,while
natychmiast,immediately
zanim,before
cóż,Well
każdy,everyone
zrobić,to do
ojciec,father
my,we
dość,enough
oraz,and
jaki,What
stanie,condition
wcale,at all
wśród,among
mieć,to have
zresztą,anyway
dziś,today
ile,how much
chociaż,though
gdyż,because
kiedyś,Once
swój,your
jedynie,only
pewno,surely
nieco,little
niemal,almost
gdzieś,somewhere
jedno,one
wokół,around
powoli,slowly
wrażenie,impression
matka,mother
świat,world
kobieta,woman
skąd,from where
myśl,thought
stary,old
dużo,A lot
drogi,Dear
nadal,still
drugi,second
bowiem,because
przynajmniej,at least
pewnie,Sure
często,often
razy,times
mężczyzna,man
dokładnie,Exactly
niczego,nothing
mówić,to talk
dzięki,Thanks
pewien,a
widać,can be seen
cicho,quiet
właściwie,actually
rzecz,thing
wolno,slow
oto,here
ciało,body
czasem,sometimes
wiedzieć,know
stąd,hence
wkrótce,soon
dół,hole
pół,half
noc,night
całkiem,quite
wówczas,then
dom,House
wzrok,sight
mocno,tightly
trudno,hard
dziewczyna,girl
dziecko,kid
skoro,since
wobec,to
śmierć,death
rzeczywiście,actually
koniec,end
tuż,next door
daleko,far
pięć,five
serce,heart
spokojnie,Relax
czegoś,something
wielki,large
dłoń,hand
część,Hi
najpierw,firstly
mało,little
temat,topic
włosy,hair
wraz,together
usta,mouth
widok,view
równie,as
ponad,above
robić,to do
cztery,four
ciągle,all the time
inny,other
znaleźć,to find
dobry,Good
wyraźnie,clearly
ponownie,again
pytanie,question
dzisiaj,Today
kogoś,someone
zwykle,usually
słowo,word
jakoś,somehow
nasz,our
szczęście,luck
prawo,law
zapewne,probably
światło,light
bóg,God
tymczasem,meanwhile
przykład,example
przede,above
nikogo,nobody
dzieje,going on
lekko,slightly
żaden,no
zobaczyć,see
ramię,arm
twój,your
wy,You
czymś,something
znacznie,significantly
powietrze,air
rano,in the morning
doktor,doctor
sprawa,thing
młody,young
dziesięć,ten
następnie,then
och,oh
dwadzieścia,twenty
jutro,Tomorrow
zatem,therefore
list,letter
jednocześnie,simultaneously
ach,ah
zamiast,instead
iść,to go
dawno,long time ago
czemu,Why
natomiast,whereas
wiadomo,you know
możliwe,possible
słońce,sun
kapitan,captain
wiatr,wind
głośno,loudly
ostatni,last
podobnie,similarly
dać,to give
ego,ego
całkowicie,entirely
zostać,stay
prosto,straight
niewiele,few
krew,blood
broń,weapon
zwłaszcza,especially
spod,bottom
większość,majority
miłość,love
koło,wheel
pomiędzy,between
mąż,husband
wprost,directly
dopóki,until
wieczorem,In the evening
doskonale,excellent
niby,kind of
łatwo,easy
blisko,close
dotąd,so far
kogo,whom
droga,way
głęboko,deep
żona,wife
przedtem,before
niebo,sky
panna,Virgin
źle,Badly
ów,that
obaj,both
niestety,Unfortunately
według,According to
zewnątrz,outside
prawdopodobnie,probably
bądź,be
miasto,city
choćby,even
król,King
ostrożnie,carefully
czyli,That is
spojrzenie,look
około,about
zaledwie,just
spokój,composure
moment,moment
wczoraj,Yesterday
gwałtownie,violently
pokój,room
chłopiec,boy
wzdłuż,along
przeciwko,against
bok,side
pomocy,help
cisza,silence
nowy,new
stać,be
ależ,but
ból,pain
okno,window
ciężko,hard
syn,son
myśleć,think
czasami,Sometimes
wszędzie,everywhere
odpowiedź,answer
obraz,picture
sto,hundred
krok,step
rok,year
statek,ship
żyć,lives
ledwie,hardly
postać,character
owszem,yes
dokąd,where
szczególnie,especially
sześć,six
znak,sign
brat,brother
ruch,movement
los,moose
jakże,how
brak,lack
wieczór,evening
uśmiech,smile
sen,dream
pomysł,idea
długi,long
chwila,one sec
woda,water
zza,from behind
fakt,fact
wyraz,word
ogień,fire
uważnie,carefully
chłopak,boy
wyłącznie,only
cokolwiek,whatever
zrozumieć,understand
akurat,exactly
samochód,car
wiadomość,message
naprzód,forward
numer,number
wrócić,come back
nazwisko,last name
nie,no
wprawdzie,indeed
krótko,short
zgodnie,according
czoło,forehead
wysoko,high
widzieć,see
wina,fault
pomoc,help
kiedykolwiek,whenever
oboje,both
rozdział,chapter
strach,fear
spotkanie,meeting
dosyć,enough
szeroko,widely
dwaj,two
oko,eye
zapach,smell
wziąć,to take
zabić,kill
tłum,crowd
toteż,this as well
czekać,wait
stan,state
brew,eyebrow
trzydzieści,thirty
jednakże,however
oddech,breath
późno,late
przeciw,against
głowa,head
oprócz,apart from
dźwięk,sound
cień,shade
zarówno,both
czyż,clean
chętnie,gladly
mama,mom
szukać,to look for
dostać,to receive
niezbyt,not very
dowiedzieć,find out
mnóstwo,lots of
obecnie,Currently
niezwykle,unusually
uczucie,feeling
południe,south
poważnie,seriously
podobno,supposedly
stamtąd,from there
morze,sea
dziwnie,strangely
wyjść,go out
kawałek,piece
naturalnie,naturally
telefon,Telephone
wewnątrz,inside
problem,problem
język,Tongue
czarny,black
stół,table
wręcz,outright
gotów,ready
słychać,hear
ksiądz,priest
poznać,to get to know
wypadek,accident
profesor,professor
spać,to sleep
ostatnio,lately
siostra,sister
póki,while
starannie,carefully
szczerze,Honestly
zamiar,intention
ziemia,earth
tamten,that
pójść,go
plan,plan
zabrać,take away
wysoki,tall
pies,dog
szkoda,Pity
las,forest
trzeci,third
widocznie,apparently
rzadko,rarely
sporo,a lot
pełen,full
przyznać,admit
byle,any
ono,it
umysł,mind
historia,history
rozkaz,command
tydzień,week
patrzeć,look
reszta,rest
nos,nose
przyjaciel,friend
cel,objective
sprawdzić,to check
poprzez,by
podróż,trip
miecz,sword
działo,gun
strasznie,terribly
generał,general
osobiście,personally
przykro,sorry
zarazem,at the same time
pomimo,despite
kamień,stone
lewo,left
deszcz,rain
potrzeba,need
znać,know
moc,power
zły,bad
wejść,come in
pamięć,memory
nareszcie,at last
przekonać,to convince
udział,participation
kolejny,next
świetnie,Great
ostatecznie,ultimately
tom,volume
zdanie,opinion
wojna,war
rozmawiać,to talk
istotnie,substantially
otóż,well
ręka,hand
niedawno,recently
plecy,back
duży,big
rana,wound
córka,daughter
ślad,trace
pięćdziesiąt,fifty
ostro,sharply
dookoła,around
nigdzie,nowhere
siedem,seven
nóż,knife
jechać,to go
ciotka,aunt
nowo,newly
mary,mary
nieraz,sometimes
spotkać,meet
czyżby,could it
wpół,in half
sytuacja,situation
wyobrazić,imagine
delikatnie,gently
zazwyczaj,usually
powstrzymać,stop
pozwolić,to let
dotychczas,yet
krzyk,scream
zadanie,task
kształt,Shape
wierzyć,believe
pośród,among
facet,guy
zachód,West
uwierzyć,believe
koń,horse
lekarz,doctor
pułkownik,colonel
porozmawiać,talk
poczucie,sense
niegdyś,once
dokoła,around
północ,midnight
osiem,eight
powrót,return
ton,tone
znaczenie,meaning
rodzina,family
klucz,key
ukryć,hide
żal,regret
oficer,officer
zatrzymać,stop
liczyć,to count
przejść,pass
zimno,Cold
głąb,depth
łagodnie,gently
tysiąc,thousand
zmienić,to change
praca,Work
bob,broad bean
jedyny,only
obecność,presence
ciemność,darkness
przyszłość,future
słyszeć,to hear
odpowiedzieć,reply
uczynić,make
dziewczynka,girl
piękny,beautiful
podobny,similar
głównie,mainly
prócz,except
stale,Constant
siła,force
niekiedy,sometimes
absolutnie,absolutely
radość,joy
brzeg,edge
centrum,center
zdobyć,to win
świadomość,awareness
zachować,keep
względem,relative
państwo,country
niedługo,soon
zegarek,watch
punkt,point
śnieg,snow
niedaleko,near
prawdziwy,true
równocześnie,simultaneously
gra,game
pewny,sure
rozmowa,conversation
pole,field
wóz,car
trzymać,to hold
ledwo,barely
aha,I see
własny,own
stanowczo,firmly
cześć,Hi
pokazać,show
czterdzieści,forty
wschód,east
pisać,to write
specjalnie,especially
obcy,stranger
obiad,Lunch
dziwny,weird
księżyc,moon
zająć,hare
pracować,work
przestrzeń,space
milczenie,silence
głupi,stupid
czytać,to read
dane,data
dotrzeć,arrive
ucha,ear
niewątpliwie,undoubtedly
możliwość,possibility
słuchać,to listen
spojrzeć,look
płaszcz,coat
ubranie,clothes
kraj,country
piętnaście,fifteen
prędko,soon
doprawdy,really
śmiech,laughter
jasno,brightly
odejść,leave
błąd,mistake
niebezpieczeństwo,danger
ciepło,warm
wcześnie,early
pewność,confidence
pistolet,gun
gniew,anger
korytarz,corridor
związek,relationship
blask,shine
wracać,return
wyjaśnić,explain
pora,time
silny,strong
nazajutrz,next day
utrzymać,maintain
pokład,deck
walczyć,fight
następny,next
dziadek,grandpa
pas,crimson
przeciwnie,contrary
żołnierz,soldier
szef,boss
kochanie,Honey
pięknie,Beautifully
chodzić,go
osoba,person
środek,middle
dwoje,two
atak,attack
wuj,uncle
system,system
naprzeciw,opposite
zapytać,ask
uczuć,feelings
drzewo,tree
grupa,group
hrabia,count
pośrodku,in the middle
zacząć,start
rodzaj,type
palec,finger
duch,ghost
wbrew,against
odgłos,sound
zapomnieć,forget
major,major
przypomnieć,to remind
łeb,head
teren,area
wystarczająco,sufficiently
przyjąć,accept
miło,Nice
codziennie,every day
początkowo,initially
zamek,lock
przyjemność,pleasure
nerwowo,nervously
spośród,out of
usłyszeć,hear
nieźle,not bad
gardło,throat
jeść,eat
pomyśleć,think
zostawić,to leave
wyjątkowo,exceptionally
początek,beginning
miesiąc,month
rząd,government
hej,Hi
łódź,Łódź
otworzyć,open
niepokój,anxiety
cholera,cholera
szczęśliwy,happy
spodnie,Pants
umrzeć,die
niepewnie,hesitantly
wiek,age
naraz,at the same time
złapał,caught
czerwony,red
kupić,to buy
pociąg,train
kontakt,contact
porucznik,lieutenant
gorąco,hot
